epoch,train_loss,val_loss,val_accuracy_datatypes,val_precision_datatypes,val_recall_datatypes,val_f1_datatypes,val_accuracy_constraints,val_precision_constraints,val_recall_constraints,val_f1_constraints
1,10.348353036747843,2.2951973985595955,0.9243078626799557,0.19740152131133246,0.15049351573354638,0.1645542638591412,0.9416389811738649,0.710086952041495,0.6727578664468737,0.6902196686353645
2,2.247696935276668,1.0713280973046324,0.9341085271317829,0.3085082105340223,0.23380805586880848,0.2523374784050464,0.9508859357696567,0.7364298786578515,0.6990369366946124,0.7148667252870873
3,1.0197308509550342,0.484369601027118,0.9339977851605759,0.3239997729685345,0.24671430906073225,0.26566271129829594,0.9519933554817276,0.7600066024156195,0.6960628687129158,0.7219315337076452
4,0.47694799380029196,0.29047359956855395,0.9389258028792913,0.5279583064876624,0.28795174302975085,0.3349980883839465,0.9532115171650055,0.7653777852964283,0.704823834765886,0.7288688197621965
5,0.3067837369640301,0.2828887460437724,0.9486157253599115,0.5638333879288718,0.3477552378698938,0.39327833400149376,0.9589700996677741,0.7773927325581791,0.7489447386070407,0.7604378777151521
6,0.30823982687264184,0.2392768095003014,0.9544296788482834,0.589316428164814,0.3792685035145759,0.4221302185953985,0.9593023255813954,0.7883963169498727,0.7458125073100665,0.7625149682028926
7,0.25296925149183175,0.2331103290063004,0.9553709856035437,0.5905790731740107,0.3845982600175007,0.4271306775746981,0.9629568106312293,0.8061248701633414,0.7693236219955435,0.7825542232449482
8,0.4367259128063972,15.843952788974459,0.929125138427464,0.44308170202691666,0.3824265525400327,0.37540134711411605,0.9334994462901439,0.6958872944403196,0.7415759086864093,0.7158808590141631
9,0.3291617162298418,0.18938844527220014,0.9645071982281285,0.7085956896948523,0.5102736319063513,0.5743746880242633,0.9701550387596899,0.8431973513312397,0.8054664200958048,0.8184390685476058
10,0.18283661815325786,0.1666140212767148,0.9663898117386489,0.7127916638362076,0.5271672478622893,0.5877901054210438,0.9798449612403101,0.8727358468548216,0.8578023107379702,0.8620366889545206
11,0.17952823014706099,0.15620283935949256,0.9737541528239203,0.7205074595351135,0.5995074282224105,0.6388096680376544,0.9805094130675526,0.8751857907280602,0.8605692144198381,0.8654845848009092
12,0.1792117251923339,0.13246747119618313,0.9753599114064231,0.7350884994149495,0.6340974445951072,0.6706636720353085,0.9818383167220377,0.8833746384819668,0.8792543273854735,0.8789026354679038
13,0.13446874069790193,0.12652891608840008,0.9770210409745294,0.7268021362309279,0.6533202441216147,0.6766733509131592,0.9832779623477298,0.8899048076168342,0.8886911065713505,0.8880150034320731
14,0.12464768289280247,0.1111065950306547,0.984108527131783,0.7569096536960441,0.724057436156268,0.7351071576978812,0.9845514950166113,0.8949948675783838,0.8927152929379227,0.893523307001848
15,0.1268421892259208,0.10462387013512098,0.9851052048726467,0.8322163469359726,0.7817968764878537,0.799163885196489,0.9873200442967884,0.9121107561190644,0.9121048843946463,0.9114802347616714
16,0.10112524643994854,0.0931580483857728,0.9891472868217054,0.8555468970370256,0.8384308267489134,0.8452054125016056,0.9870985603543743,0.9148812248629421,0.9085181608466133,0.9112659489595227
17,0.09007501453453892,0.08968052800521997,0.9906423034330011,0.8522148147774203,0.844384271401772,0.845783602069075,0.989811738648948,0.9316242667893012,0.9276939208528884,0.9295452315929258
18,0.09075639746745777,0.07186570566494105,0.9928571428571429,0.8694124602126357,0.8539495405232427,0.8599055220892208,0.99296788482835,0.9517879466428563,0.9518664403059778,0.9517360435867827
19,0.09479369177007893,0.0701293206535453,0.9933001107419712,0.8657035974461068,0.8588230485004918,0.8599934613976944,0.9909745293466223,0.9377819378420263,0.9351102920043802,0.936424739877015
20,0.09193613666751854,0.0583552035326726,0.9940753045404208,0.8628289165690113,0.8725591399907352,0.8663304472161508,0.9954042081949058,0.9693969905689217,0.9724146717382995,0.9708979430737286
21,0.0582760495030409,0.05693578439148954,0.9939645625692137,0.7968729086574475,0.7866768146324506,0.790771783646473,0.9946290143964562,0.9647832618883609,0.9702505831970802,0.9674736728041394
22,0.050739594285639754,0.07602151529399362,0.9940753045404208,0.872813322851572,0.8695893678293084,0.8701265864362592,0.992469545957918,0.9584165312995456,0.9485097999222659,0.9533448611105065
23,0.06687339130184801,0.04190023788606804,0.9961794019933555,0.8781282220600483,0.8802939413002071,0.8782936820323345,0.9963455149501661,0.9747608723052559,0.9775883773587607,0.976150567827635
24,0.11882741534316399,0.07942435943345195,0.9966777408637874,0.9003614358270781,0.8886481890333253,0.8939396698790981,0.9979512735326689,0.984900463121282,0.9894428886184148,0.9871193586680673
25,0.043298678391298036,0.03473359205917861,0.9972868217054264,0.9001974097913824,0.8973032967203237,0.8985287216694019,0.9983942414174972,0.9887074026886629,0.9940652794850773,0.9913469533536762
26,0.03369082193774328,0.032485049609342384,0.9978405315614618,0.9069939810237031,0.8999518097525416,0.9034052003674905,0.9988925802879292,0.992245730540555,0.9958564361848086,0.9940195622164302
27,0.03014095028859775,0.03145293418652195,0.9972868217054264,0.9080685890181507,0.8949034212584327,0.901188119113442,0.9987264673311185,0.9921544766650883,0.9946964020056361,0.9934144012015327
28,0.027449811157527725,0.025769461416623916,0.9981173864894796,0.9078684393527605,0.902322823717005,0.9050223417989137,0.9985603543743079,0.9920345459814763,0.9950091873730001,0.9935085764614868
29,0.02330367868631052,0.023571329740528946,0.9976190476190476,0.9025775389585234,0.8969607551393239,0.8996015258272195,0.9989479512735326,0.9929102094448923,0.995915388320519,0.9943921480300304
30,0.02650178045029244,0.022574906918124305,0.9978959025470653,0.9059218064423028,0.9017666315815324,0.9037989468221904,0.9991140642303433,0.9943641833299264,0.9965901119001424,0.995465890216481
31,0.017922995084907013,0.02228589030214743,0.9979512735326689,0.908421279228253,0.9028979289340708,0.9055657787833216,0.9993355481727575,0.9957192452726538,0.9973237876154761,0.9965163999336867
32,0.017189863159720632,0.026215527337384827,0.9976190476190476,0.9070385883570933,0.9018829285195582,0.9043646939455098,0.9990033222591362,0.9930050514807861,0.9959314078002063,0.9944529553763538
33,0.1696325284099661,0.01988475913865696,0.998172757475083,0.9080324306806026,0.9027215477999396,0.9053337150846875,0.9984496124031008,0.9896786939069185,0.9957282803473102,0.9926663891020202
34,0.014302292456458771,0.017279968538207072,0.9982281284606866,0.9071127549951465,0.9030021314138565,0.9050264093146109,0.9988372093023256,0.9922133205515745,0.9963426150525597,0.9942593062747456
35,0.012231183819780075,0.016915373612455157,0.9983388704318937,0.9086038912374218,0.903987709956885,0.9062499678076651,0.9991140642303433,0.9941571245181662,0.9969249107984346,0.9955326668548007
36,0.01227667089198783,0.02364650015267497,0.998172757475083,0.9078883454295639,0.9027215477999396,0.9052504573542901,0.9991694352159468,0.9943782174411313,0.9961897983444373,0.9952738596666804
37,0.018864185107715235,0.06500458344275695,0.9956810631229236,0.8950614384252353,0.888283110152268,0.8910762483926734,0.9966777408637874,0.9784866831224333,0.984888027784354,0.9815367031078129
38,0.01994364145351746,0.05892850613288049,0.9980066445182725,0.908155562247997,0.9039767202422806,0.9059272150256853,0.9991140642303433,0.9942029341209624,0.9968921035034382,0.9955347307860027
39,0.009995721759426953,0.04118195262952612,0.9978959025470653,0.9091661653737764,0.9036120229410406,0.9062447280234723,0.9991140642303433,0.9934805737486588,0.9968163635524186,0.9951177791300615
40,0.02160382870067851,0.011990997092519884,0.9983942414174972,0.9092625068027527,0.9043864340398197,0.9067643091962858,0.999390919158361,0.9956233329992662,0.998025324438855,0.9968134730517688
41,0.06984589681001992,0.019545216726733254,0.9979512735326689,0.9083559824814378,0.9036221620006101,0.9059419295867289,0.9992801771871539,0.9947057632867713,0.9966811029952273,0.9956850836106956
