epoch,train_loss,val_loss,val_accuracy_datatypes,val_precision_datatypes,val_recall_datatypes,val_f1_datatypes
1,0.8741924831317647,0.3601503215259072,0.06640625,0.32815337846856163,0.06640625,0.06869486767105416
2,0.3557984621149899,0.3052020494892531,0.302734375,0.45041571920576706,0.302734375,0.3308401603162731
3,0.31947041965916867,0.3008386287159084,0.4013671875,0.5131980194739079,0.4013671875,0.44310080837669336
4,0.30153708800105505,0.2953222127664503,0.388671875,0.5795166015625,0.388671875,0.4341345244658144
5,0.2914137034864055,0.28861760765496314,0.4345703125,0.53662109375,0.4345703125,0.45662078591300104
6,0.2847227456099688,0.28085385537865726,0.4375,0.5100958510922811,0.4375,0.4427781144512555
7,0.27709853998926803,0.2742959585197564,0.4619140625,0.5339299762059772,0.4619140625,0.4694556771620223
8,0.27480700582131234,0.27786055566399703,0.4775390625,0.5945223896514085,0.4775390625,0.5178826918262911
9,0.27177043743532003,0.2706860551752719,0.4765625,0.5679592461574884,0.4765625,0.4995616326975922
10,0.2697831050458852,0.2734705722659694,0.484375,0.5617903104883736,0.484375,0.49943588620849794
11,0.2657997297546757,0.2708371846809987,0.4697265625,0.5842787053616918,0.4697265625,0.4979012022437185
12,0.2638926263323844,0.2746876262879976,0.494140625,0.5405456315375493,0.494140625,0.4934041035904992
13,0.2614036794720209,0.27662984617889563,0.5,0.868844736295681,0.5,0.5145599557496248
14,0.2596202941605652,0.2714495626713753,0.498046875,0.8566920333504902,0.498046875,0.508591175083702
15,0.25957359650557676,0.2753345800736011,0.48828125,0.7107390513659319,0.48828125,0.5069276469860223
16,0.2560578322597138,0.2821763511453508,0.4990234375,0.8646469273910681,0.4990234375,0.5440586227014148
17,0.2556242392276068,0.28489199140933597,0.494140625,0.8676048878716374,0.494140625,0.5131950101199132
18,0.25499582504528195,0.27786240569397336,0.482421875,0.9010451481729056,0.482421875,0.5221302535731381
19,0.25052713693910666,0.27353025064532854,0.4931640625,0.8828162189155777,0.4931640625,0.5295281867170072
20,0.25259246715848827,0.28024081582168137,0.5703125,0.8310632620175392,0.5703125,0.5710365416376801
21,0.25028511257785,0.27774540574932516,0.5185546875,0.8686981321655814,0.5185546875,0.5617532555961801
22,0.24902619741039622,0.2863196751801631,0.525390625,0.8862795076157932,0.525390625,0.5611208840801009
23,0.24831492686931833,0.2812532454383838,0.544921875,0.913835200507012,0.544921875,0.5955636808046362
24,0.24723250243745887,0.2894729042279045,0.5791015625,0.8802097462458482,0.5791015625,0.6345014236653557
25,0.24775362292987158,0.2921735676781232,0.578125,0.9267087227712372,0.578125,0.6362917592212939
26,0.2469647757404727,0.2933143759870842,0.548828125,0.8429558913988918,0.548828125,0.545212812382049
27,0.24423455290678797,0.29072888690211673,0.583984375,0.9101744004002821,0.583984375,0.6487194875930806
28,0.2447165632593069,0.3045905994799889,0.630859375,0.8488382977964107,0.630859375,0.699390311043158
29,0.24439607377965622,0.2960200904534922,0.64453125,0.8366114209621576,0.64453125,0.6833026892941858
30,0.24315007479813833,0.29677077575695066,0.6240234375,0.8927322197316025,0.6240234375,0.6986344021549548
